iter	Passed	Remaining
0	1	165
1	3	156
2	4	142
3	5	127
4	6	122
5	7	117
6	8	113
7	9	112
8	10	109
9	11	107
10	13	106
11	14	104
12	15	103
13	16	101
14	17	100
15	18	99
16	20	98
17	21	96
18	22	95
19	23	94
20	24	93
21	25	91
22	27	90
23	28	89
24	29	88
25	30	87
26	32	86
27	33	87
28	35	87
29	37	86
30	38	85
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	79
37	48	78
38	49	78
39	51	77
40	52	76
41	53	73
42	54	72
43	56	71
44	58	71
45	59	70
46	61	69
47	62	68
48	64	67
49	66	66
50	67	64
51	69	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	57
57	77	56
58	79	55
59	80	53
60	82	52
61	83	51
62	85	50
63	87	49
64	89	48
65	90	46
66	92	45
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	104	36
74	105	35
75	107	33
76	109	32
77	111	31
78	112	29
79	114	28
80	115	27
81	117	25
82	118	24
83	120	22
84	122	21
85	123	20
86	125	18
87	126	17
88	128	15
89	130	14
90	132	13
91	134	11
92	135	10
93	137	8
94	139	7
95	141	5
96	143	4
97	145	2
98	146	1
99	148	0
